Section / Page (பிரிவு),Field Name / Key (புலம்),Context / Instruction (விளக்கம்),English Value (ஆங்கில மதிப்பு) *[REQUIRED]*,Tamil Value (தமிழ் மதிப்பு) *[REQUIRED]*
General Settings,Official Store Name,Name of the e-commerce store,Yathu Arokiyagam,யது ஆரோக்கியகம்
General Settings,Brand Slogan,Slogan displayed on banners,A dedicated store for those who choose a healthy lifestyle,ஆரோக்கியமான வாழ்க்கை முறையை தேர்ந்தெடுப்பவர்களுக்கான பிரத்யோக அங்காடி
General Settings,Support Phone Number,Customer care mobile/landline,+91-88701 59766,+91-88701 59766
General Settings,WhatsApp Support Number,WhatsApp number for orders/notifications,+91-88701 59766,+91-88701 59766
General Settings,Support Email Address,Official email address for support,yathuarokiyagam@gmail.com,yathuarokiyagam@gmail.com
General Settings,Physical Address,Full business/factory address,"#402, Seepalakottai Road, Chinnmanur, Theni District, TamilNadu - 625515","அஞ்சல் எண் 402, சீப்பாலக்கோட்டை சாலை, சின்னமனூர், தேனி மாவட்டம், தமிழ்நாடு - 625515"
General Settings,Working Hours,Customer service hours,Monday - Saturday: 9:00 AM - 6:00 PM,திங்கள் - சனி: காலை 9:00 - மாலை 6:00
Social Media Links,Instagram URL,Link to Instagram page,,
Social Media Links,Facebook URL,Link to Facebook page,,
Social Media Links,YouTube URL,Link to YouTube channel,,
About Us Page,Our Story (Title),Title of story section,The Soil That Shaped Us: The Story of Yathu Arokiyagam,எங்களை செதுக்கிய மண்: யாது ஆரோக்கியகத்தின் கதை
About Us Page,Our Story (Paragraph),Brief history & description of the store,"It all began with a simple, quiet patch of earth and a clear vision: to practice Natural Farming.We dug our hands into the soil on our own farm, learning the ancient rhythms of nature and understanding what it truly takes to grow food without stripping the earth of its life. But as our crops grew, our vision expanded. We realized that true health shouldn't be a luxury locked away on a private farm—it needed to be shared. That spark transformed our farming roots into a dedicated food community designed to make both our family and your family healthy, resilient, and sustainable.Today, Yathu Arokiyagam is a dedicated sanctuary for everyone choosing a conscious, healthy lifestyle. We run our store on a promise of absolute honesty. We offer a mix of our own hand-harvested items alongside carefully vetted, healthy products procured from trusted partner farmers.We choose transparency over marketing buzzwords. Not everything on our shelves is certified organic—because we know that many small, traditional farmers cultivate beautifully clean food without expensive certifications. However, every single item passes our strict quality shield: absolutely zero adulteration, zero preservatives, and zero industrial shortcuts.From our nutrient-dense traditional rices and drought-resilient millets to our aromatic wood-pressed oils and mineral-rich natural sweeteners, we bridge the gap between ancestral purity and your busy, modern kitchen. When you eat from Yathu Arokiyagam, you are not just buying groceries; you are supporting a circle of wellness that keeps the soil alive, honors the farmer, and protects your health.","இது அனைத்தும் ஒரு எளிய, அமைதியான நிலப்பரப்பிலும், இயற்கை விவசாயத்தைப் பின்பற்றுவது என்ற தெளிவான நோக்கத்துடனும் தொடங்கியது. நாங்கள் எங்கள் சொந்தப் பண்ணையில் மண்ணில் கைகளைப் பதித்து, இயற்கையின் தொன்மையான தாளங்களைக் கற்றுக்கொண்டோம்; பூமியின் உயிரைப் பறிக்காமல் உணவை வளர்ப்பதற்கு உண்மையில் என்ன தேவை என்பதைப் புரிந்துகொண்டோம். ஆனால் எங்கள் பயிர்கள் வளர வளர, எங்கள் நோக்கமும் விரிவடைந்தது. உண்மையான ஆரோக்கியம் என்பது ஒரு தனியார் பண்ணையில் பூட்டி வைக்கப்பட்ட ஒரு ஆடம்பரப் பொருளாக இருக்கக்கூடாது—அது பகிரப்பட வேண்டும் என்பதை நாங்கள் உணர்ந்தோம். அந்தத் தீப்பொறி, எங்கள் விவசாய வேர்களை, எங்கள் குடும்பத்தையும் உங்கள் குடும்பத்தையும் ஆரோக்கியமானதாகவும், மீள்திறன் கொண்டதாகவும், நீடித்ததாகவும் மாற்றுவதற்காக வடிவமைக்கப்பட்ட ஒரு அர்ப்பணிப்புள்ள உணவுச் சமூகமாக மாற்றியது. இன்று, யது ஆரோக்கியகம் என்பது விழிப்புணர்வுள்ள, ஆரோக்கியமான வாழ்க்கை முறையைத் தேர்ந்தெடுக்கும் அனைவருக்கும் ஒரு அர்ப்பணிப்புள்ள புகலிடமாக விளங்குகிறது. நாங்கள் எங்கள் கடையை முழுமையான நேர்மையின் வாக்குறுதியுடன் நடத்துகிறோம். நாங்கள் கையால் அறுவடை செய்த பொருட்களுடன், நம்பகமான கூட்டாளர் விவசாயிகளிடமிருந்து பெறப்பட்ட, கவனமாகச் சரிபார்க்கப்பட்ட, ஆரோக்கியமான பொருட்களையும் கலந்து வழங்குகிறோம். சந்தைப்படுத்தல் கவர்ச்சி வார்த்தைகளை விட வெளிப்படைத்தன்மையையே நாங்கள் தேர்ந்தெடுக்கிறோம். எங்கள் அலமாரிகளில் உள்ள அனைத்தும் சான்றளிக்கப்பட்ட இயற்கை உணவுப் பொருட்கள் அல்ல—ஏனென்றால், பல சிறிய, பாரம்பரிய விவசாயிகள் விலையுயர்ந்த சான்றிதழ்கள் இல்லாமலேயே அழகிய, தூய்மையான உணவைப் பயிரிடுகிறார்கள் என்பது எங்களுக்குத் தெரியும். இருப்பினும், ஒவ்வொரு பொருளும் எங்களின் கடுமையான தரச் சோதனையில் தேர்ச்சி பெறுகிறது: முற்றிலும் கலப்படம் இல்லை, பதப்படுத்திகள் இல்லை, மற்றும் தொழிற்சாலை குறுக்குவழிகள் இல்லை. ஊட்டச்சத்து நிறைந்த எங்களின் பாரம்பரிய அரிசிகள் மற்றும் வறட்சியைத் தாங்கும் சிறுதானியங்கள் முதல், நறுமணமிக்க விறகுப் பிழிந்த எண்ணெய்கள் மற்றும் கனிமச்சத்து நிறைந்த இயற்கை இனிப்பூட்டிகள் வரை, நாங்கள் பாரம்பரியத் தூய்மைக்கும் உங்கள் பரபரப்பான நவீன சமையலறைக்கும் இடையே ஒரு பாலமாக விளங்குகிறோம். நீங்கள் யது ஆரோக்கியகத்தில் இருந்து உண்ணும்போது, ​​நீங்கள் மளிகைப் பொருட்களை மட்டும் வாங்குவதில்லை; மண்ணை உயிர்ப்புடன் வைத்திருக்கும், விவசாயியைக் கௌரவிக்கும், மற்றும் உங்கள் ஆரோக்கியத்தைப் பாதுகாக்கும் ஒரு நல்வாழ்வுச் சுழற்சிக்கு ஆதரவளிக்கிறீர்கள்."
About Us Page,Our Mission (Title),Title of mission section,Our Mission,எங்கள் நோக்கம்
