Pincode (அஞ்சல் குறியீடு) *[REQUIRED]*,City (நகரம்),State (மாநிலம்),Delivery Available? (விநியோகம் உள்ளதா?) [YES / NO],Estimated Days (மதிப்பிடப்பட்ட நாட்கள்),Shipping Charge in INR (டெலிவரி கட்டணம் ₹),Free Delivery Threshold in INR (இலவச டெலிவரி வரம்பு ₹)
600001,Chennai,Tamil Nadu,YES,2,40,499
600002,Chennai,Tamil Nadu,YES,2,40,499
625001,Madurai,Tamil Nadu,YES,3,50,599
625515,Chinnmanur,Tamil Nadu,YES,2,40,499
625531,Theni,Tamil Nadu,YES,2,40,499
641001,Coimbatore,Tamil Nadu,YES,2,45,499
620001,Tiruchirappalli,Tamil Nadu,YES,3,45,499
560001,Bengaluru,Karnataka,YES,4,70,799
682001,Kochi,Kerala,YES,4,70,799
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
,,,YES,,,
