Section / Page (பிரிவு),Field Name / Key (புலம்),Context / Instruction (விளக்கம்),English Value (ஆங்கில மதிப்பு) *[REQUIRED]*,Tamil Value (தமிழ் மதிப்பு) *[REQUIRED]*
General Settings,Official Store Name,Name of the e-commerce store,Yathu Iyarkaiyagam,யாது இயற்கையகம்
General Settings,Brand Slogan,Slogan displayed on banners,Direct-farm sourced organic goodness since 2020,2020 முதல் நேரடி பண்ணை ஆர்கானிக் தரம்
General Settings,Support Phone Number,Customer care mobile/landline,#NAME?,#NAME?
General Settings,WhatsApp Support Number,WhatsApp number for orders/notifications,#NAME?,#NAME?
General Settings,Support Email Address,Official email address for support,support@yathuiyarkaiyagam.com,support@yathuiyarkaiyagam.com
General Settings,Physical Address,Full business/factory address,"Factory & Packaging: OMR Road, Taramani, Chennai, TN - 600113","தொழிற்சாலை & பேக்கேஜிங்: OMR சாலை, தரமணி, சென்னை, TN - 600113"
General Settings,Working Hours,Customer service hours,Monday - Saturday: 9:00 AM - 6:00 PM,திங்கள் - சனி: காலை 9:00 - மாலை 6:00
Social Media Links,Instagram URL,Link to Instagram page,,
Social Media Links,Facebook URL,Link to Facebook page,,
Social Media Links,YouTube URL,Link to YouTube channel,,
About Us Page,Our Story (Title),Title of story section,Our Story,எங்கள் கதை
About Us Page,Our Story (Paragraph),Brief history & description of the store,"Founded with a vision to connect local farmers directly with consumers, Yathu Iyarkaiyagam ensures 100% lab-tested, certified organic food products that are wholesome, pure, and nutritious.","உள்ளூர் விவசாயிகளை நுகர்வோருடன் நேரடியாக இணைக்கும் நோக்குடன் தொடங்கப்பட்ட யாது இயற்கையகம், 100% ஆய்வக பரிசோதனை செய்யப்பட்ட, ஆர்கானிக் மற்றும் சத்தான உணவு தயாரிப்புகளை உறுதி செய்கிறது."
About Us Page,Our Mission (Title),Title of mission section,Our Mission,எங்கள் நோக்கம்
About Us Page,Our Mission (Paragraph),Core purpose of the business,"To make chemical-free, nutrient-dense organic food accessible to every household while empowering rural farmers through fair-trade practices.","கிராமப்புற விவசாயிகளுக்கு நியாயமான வருவாயை உறுதி செய்யும் அதே வேளையில், இரசாயனமற்ற ஆரோக்கியமான ஆர்கானிக் உணவை ஒவ்வொரு வீட்டிற்கும் கிடைக்கச் செய்வது எங்களது நோக்கம்."
About Us Page - Values,Value 1: Title,Title of first core value,100% Pure & Lab Tested,100% சுத்தமான & ஆய்வக சோதனை
About Us Page - Values,Value 1: Description,Details of value 1,Every single batch is tested in certified laboratories to guarantee zero chemical residues.,இரசாயன எச்சங்கள் பூஜ்ஜியம் என்பதை உறுதிப்படுத்த ஒவ்வொரு தயாரிப்பும் சான்றளிக்கப்பட்ட ஆய்வகங்களில் சோதிக்கப்படுகிறது.
About Us Page - Values,Value 2: Title,Title of second core value,Direct Farm Sourced,நேரடி பண்ணை கொள்முதல்
