ID,Category,Description,Dev,GM,Client,Priority,Status,Action_Item
REQ-001,Product Catalog & Setup,"Finalize 85 Customer Products list with Tamil & English localized names, pricing, and variants",Consulted,Accountable,Responsible,Critical,Completed,Parsed from ProductListForWebsite.xlsx and converted into backend/prisma/seed.ts dataset.
REQ-002,Product Catalog & Setup,Collect product photography images & apply background removal / web optimization,Consulted,Responsible,Accountable,High,In Progress,Client/GM photographing products against white background. Dev provides automated Cloudinary script.
REQ-003,Cloud Image Storage,"Create Cloudinary production account, generate API keys, and configure upload presets",Responsible,Accountable,Informed,High,Live Ready,"Cloudinary account setup, env vars added to backend, stream upload middleware implemented."
REQ-004,Hosting & Infrastructure,Purchase Hostinger VPS / Hosting Plan suitable for Node.js Express API & Next.js Frontend,Consulted,Accountable,Responsible,Critical,Pending Client Purchase,Client/GM to purchase Hostinger KVM 2/4 VPS plan (India Data Center - Mumbai).
REQ-005,Database Architecture,"Provision PostgreSQL database on Hostinger VPS, configure connection string, SSL & security rules",Responsible,Accountable,Informed,Critical,Ready for Deploy,"Prisma PostgreSQL schema verified, connection string configured via DATABASE_URL."
REQ-006,Domain & Branding,Select & purchase India-suited domain name (.in / .co.in / .com) on Hostinger / Namecheap,Consulted,Accountable,Responsible,Critical,Pending Client Purchase,"Select domain (e.g., yathuiyarkaiyagam.in or yathuorganic.in) and complete purchase."
REQ-007,DNS & Security,"Point Domain DNS A-Records to Hostinger IP, configure Cloudflare CDN & free Let's Encrypt SSL",Responsible,Accountable,Informed,High,Ready for Deploy,"Dev configures Nginx reverse proxy, SSL certbot, and Cloudflare DNS."
REQ-008,Database Seeding & Migration,Run initial database migrations and seed all 85 authentic customer products to live DB,Responsible,Accountable,Informed,Critical,Ready for Deploy,Execute `npx prisma migrate deploy` and `npx prisma db seed` on production host.
REQ-009,Payment Integration,"Integrate Razorpay / Cashfree Payment Gateway for live UPI, Card & Netbanking payments",Consulted,Accountable,Responsible,Medium,Phase 2 (On Hold),Held for Phase 2 as instructed. Storefront initially operates on Manual COD / Direct UPI Transfer.
REQ-010,Logistics & Shipping,Integrate Shiprocket API for automated AWB courier dispatch and pincode serviceability check,Consulted,Accountable,Responsible,Medium,Phase 2 (On Hold),Held for Phase 2 as instructed. Using internal Pincode database table for delivery fees.
REQ-011,Local Pincode Delivery,"Set up South India pincodes matrix, flat delivery rates, and free shipping thresholds",Responsible,Accountable,Consulted,High,Completed,"Seeded Chennai, Madurai, Coimbatore, Trichy, Bengaluru pincodes in database."
REQ-012,Admin Access & Security,"Create production admin super-user credentials, configure JWT secret, and audit log tracking",Responsible,Accountable,Informed,Critical,Live Ready,Admin role-based authentication enforced on CMS routes (/api/v1/cms/*).
REQ-013,Admin Operational Training,"Provide SOP setup guide for adding new products, editing prices, toggling stock, and order monitoring",Responsible,Accountable,Accountable,High,Completed,Documented inside docs/MASTER_SETUP_AND_PRODUCT_OPERATIONS_GUIDE.md.
REQ-014,Database Backup & Safety,Set up automated daily PostgreSQL database dumps and Cloudflare R2 / local storage offsite backups,Responsible,Accountable,Informed,High,Ready for Deploy,Cron script for automated pg_dump back-ups provided in SOP documentation.
